iter	Passed	Remaining
0	2	2442
1	6	3185
2	8	2897
3	10	2664
4	12	2541
5	14	2458
6	16	2345
7	18	2268
8	21	2377
9	23	2328
10	24	2240
11	26	2164
12	27	2095
13	28	2018
14	29	1949
15	30	1902
16	32	1903
17	34	1871
18	35	1832
19	36	1777
20	37	1728
21	37	1687
22	38	1653
23	39	1612
24	40	1569
25	40	1530
26	41	1493
27	42	1459
28	42	1427
29	43	1397
30	43	1369
31	44	1343
32	45	1318
33	45	1295
34	46	1274
35	47	1261
36	48	1258
37	49	1256
38	50	1239
39	50	1220
40	51	1203
41	52	1188
42	52	1172
43	53	1158
44	53	1144
45	54	1130
46	55	1117
47	55	1104
48	56	1095
49	57	1086
50	57	1076
51	58	1065
52	59	1054
53	59	1044
54	60	1037
55	61	1029
56	61	1023
57	62	1022
58	64	1025
59	65	1023
60	66	1020
61	66	1012
62	67	1003
63	68	995
64	68	988
65	69	980
66	69	973
67	70	966
68	71	959
69	71	952
70	72	946
71	72	939
72	73	933
73	74	928
74	74	923
75	75	917
76	76	912
77	76	909
78	78	920
79	79	916
80	80	910
81	80	905
82	81	896
83	81	891
84	82	886
85	83	883
86	83	879
87	84	874
88	84	869
89	85	865
90	86	860
91	86	856
92	87	851
93	87	847
94	88	843
95	89	839
96	89	835
97	90	831
98	91	828
99	92	831
100	93	836
101	94	833
102	95	829
103	95	825
104	96	821
105	96	818
106	97	814
107	98	810
108	98	808
109	99	804
110	100	801
111	100	798
112	101	795
113	101	792
114	102	789
115	103	786
116	103	782
117	104	779
118	104	776
119	105	774
120	106	773
121	107	771
122	108	772
123	109	770
124	109	768
125	110	767
126	111	763
127	111	760
128	112	758
129	112	755
130	113	752
131	114	749
132	114	747
133	115	744
134	115	742
135	116	739
136	117	737
137	117	734
138	118	732
139	118	729
140	119	727
141	119	725
142	120	724
143	121	723
144	123	729
145	124	728
146	125	727
147	126	726
148	126	724
149	127	724
150	128	723
151	129	721
152	130	720
153	130	718
154	131	716
155	132	714
156	132	712
157	133	711
158	134	710
159	135	713
160	136	713
161	138	716
162	139	715
163	140	713
164	140	711
165	141	709
166	141	707
167	142	705
168	143	703
169	143	701
170	144	699
171	144	697
172	145	695
173	146	694
174	146	692
175	147	690
176	147	688
177	148	686
178	149	684
179	150	683
180	150	682
181	151	682
182	152	682
183	153	681
184	154	679
185	154	677
186	155	675
187	156	674
188	156	672
189	157	670
190	157	668
191	158	666
192	159	664
193	159	663
194	160	661
195	160	659
196	161	658
197	162	656
198	162	654
199	163	654
200	164	653
201	165	652
202	166	652
203	167	653
204	168	652
205	168	651
206	169	649
207	170	648
208	170	646
209	171	644
210	172	643
211	172	641
212	173	640
213	173	638
214	174	637
215	175	635
216	175	633
217	176	632
218	176	630
219	177	628
220	177	627
221	178	625
222	179	624
223	180	624
224	181	625
225	183	627
226	183	626
227	184	624
228	185	623
229	185	621
230	186	620
231	186	618
232	187	617
233	188	615
234	188	614
235	189	612
236	189	611
237	190	610
238	191	608
239	191	607
240	192	605
241	192	604
242	193	603
243	194	601
244	194	600
245	195	600
246	196	600
247	197	600
248	198	598
249	199	597
250	199	596
251	200	595
252	201	593
253	201	592
254	202	591
255	202	589
256	203	588
257	204	586
258	204	585
259	205	584
260	205	582
261	206	581
262	207	580
263	207	578
264	208	577
265	208	576
266	209	575
267	210	574
268	211	573
269	212	575
270	213	574
271	214	572
272	214	571
273	215	570
274	215	569
275	216	567
276	217	567
277	218	566
278	218	565
279	219	564
280	219	562
281	220	561
282	221	560
283	221	558
284	222	557
285	222	556
286	223	555
287	224	553
288	224	552
289	225	552
290	227	553
291	228	553
292	228	552
293	229	551
294	230	549
295	230	548
296	231	547
297	231	546
298	232	545
299	233	543
300	233	542
301	234	541
302	234	540
303	235	539
304	236	538
305	236	536
306	237	535
307	237	534
308	238	533
309	239	532
310	239	531
311	241	531
312	241	530
313	242	529
314	243	528
315	243	527
316	244	526
317	244	525
318	245	524
319	246	522
320	246	521
321	247	520
322	247	519
323	248	518
324	249	517
325	249	516
326	250	515
327	250	513
328	251	512
329	251	511
330	252	510
331	253	509
332	254	509
333	255	509
334	256	509
335	257	507
336	257	507
337	258	506
338	258	504
339	259	503
340	260	502
341	260	501
342	261	500
343	262	499
344	262	498
345	263	497
346	263	496
347	264	495
348	264	494
349	265	493
350	266	492
351	266	491
352	267	490
353	268	489
354	268	488
355	269	487
356	271	488
357	272	488
358	273	487
359	273	487
360	274	486
361	275	485
362	276	484
363	277	484
364	277	483
365	278	482
366	279	481
367	280	481
368	281	481
369	282	480
370	283	480
371	283	479
372	284	478
373	285	477
374	286	477
375	286	475
376	287	474
377	287	473
378	288	472
379	289	472
380	289	471
381	290	470
382	291	469
383	291	468
384	292	467
385	293	466
386	293	465
387	294	464
388	294	463
389	295	461
390	295	460
391	296	460
392	297	459
393	299	459
394	300	459
395	300	458
396	301	458
397	302	457
398	303	456
399	303	455
400	304	454
401	305	453
402	305	452
403	306	451
404	307	451
405	307	450
406	308	449
407	309	448
408	309	447
409	310	446
410	311	445
411	311	444
412	312	444
413	313	443
414	313	442
415	314	441
416	315	440
417	316	440
418	316	439
419	317	438
420	317	437
421	318	436
422	319	435
423	319	434
424	320	433
425	321	432
426	321	431
427	322	430
428	322	429
429	323	428
430	324	427
431	324	426
432	325	426
433	326	425
434	326	424
435	327	423
436	328	422
437	328	421
438	329	421
439	330	420
440	330	419
441	331	418
442	332	417
443	332	416
444	333	415
445	334	414
446	334	414
447	335	413
448	335	412
449	336	411
450	337	410
451	337	409
452	338	408
453	338	407
454	339	406
455	340	405
456	340	404
457	341	403
458	341	403
459	342	402
460	343	401
461	343	400
462	344	399
463	345	398
464	345	398
465	346	397
466	347	396
467	347	395
468	348	394
469	348	393
470	349	392
471	350	391
472	350	390
473	351	389
474	351	389
475	352	388
476	353	387
477	353	386
478	354	385
479	355	384
480	355	383
481	356	383
482	357	382
483	357	381
484	358	380
485	359	379
486	359	379
487	360	378
488	361	377
489	362	377
490	362	376
491	363	375
492	364	374
493	364	373
494	365	372
495	365	371
496	366	370
497	366	369
498	367	368
499	368	368
500	368	367
501	369	366
502	370	365
503	370	364
504	371	364
505	372	363
506	372	362
507	373	361
508	374	360
509	374	360
510	375	359
511	376	358
512	376	357
513	377	356
514	377	355
515	378	355
516	379	354
517	379	353
518	380	352
519	380	351
520	381	350
521	382	349
522	382	349
523	383	348
524	384	347
525	384	346
526	385	345
527	386	345
528	386	344
529	387	343
530	388	342
531	388	341
532	389	341
533	390	340
534	390	339
535	391	338
536	391	337
537	392	337
538	393	336
539	393	335
540	394	334
541	394	333
542	395	332
543	396	332
544	396	331
545	399	332
546	400	331
547	400	330
548	401	329
549	401	328
550	402	327
551	402	327
552	403	326
553	404	325
554	405	324
555	405	324
556	406	323
557	407	322
558	407	321
559	408	320
560	408	319
561	409	319
562	409	318
563	410	317
564	411	316
565	411	315
566	412	315
567	413	314
568	414	313
569	415	313
570	416	312
571	417	312
572	417	311
573	418	310
574	420	310
575	421	310
576	422	309
577	423	309
578	424	308
579	425	308
580	426	307
581	426	306
582	427	305
583	428	305
584	429	304
585	429	303
586	430	302
587	430	301
588	431	301
589	432	300
590	432	299
591	433	298
592	434	297
593	434	297
594	435	296
595	436	295
596	436	294
597	437	293
598	437	293
599	438	292
600	438	291
601	439	290
602	440	289
603	440	289
604	441	288
605	442	287
606	442	286
607	443	285
608	443	285
609	444	284
610	445	283
611	445	282
612	446	281
613	446	280
614	447	280
615	448	279
616	448	278
617	449	277
618	450	277
619	450	276
620	451	275
621	452	274
622	452	273
623	453	273
624	454	272
625	454	271
626	455	271
627	456	270
628	456	269
629	457	268
630	458	267
631	458	267
632	459	266
633	460	265
634	460	264
635	461	264
636	461	263
637	462	262
638	463	261
639	463	260
640	464	260
641	465	259
642	465	258
643	466	257
644	467	257
645	467	256
646	468	255
647	469	255
648	470	254
649	470	253
